state,city,zipcode
Bajram Curri,Qender,8701
Bajram Curri,Bajram Curri,8702
Bajram Curri,Tropoje,8703
Bajram Curri,Fierze,8704
Bajram Curri,Pac,8705
Bajram Curri,Lekbibaj,8706
Berat,Qender Berat,5001
Berat,Berati 1,5002
Berat,Berati 2,5003
Berat,Berati 4,5004
Berat,Berati 5,5005
Berat,Berati 6,5006
Berat,Ura Vajgurore,5007
Berat,Poshnje,5008
Berat,Kutalli,5009
Berat,Otllak,5010
Berat,Sinje,5011
Berat,Velabisht,5012
Berat,Lumas,5013
Berat,Roshnik,5014
Berat,Terpan,5015
Berat,Mbrakull,5016
Berat,Vertop 1,5017
Berat,Cukalat,5018
Berat,Cukalat 1,5019
Berat,Lapardha,5020
Berat,Ura e Kucit,5021
Berat,Syzez,5022
Bulqize,Qender Bulqize,8401
Bulqize,Bulqiza 1,8402
Bulqize,Martanesh,8403
Bulqize,Shupenze,8404
Bulqize,Ostren,8405
Bulqize,Zerqan,8406
Bulqize,Gjorice,8407
Diber,Peshkopi,8301
Diber,Maqellare,8302
Diber,Melan,8303
Diber,Tomin,8304
Diber,Kastriot,8305
Diber,Fushe-Cidhen,8306
Diber,Sllove,8307
Diber,Kala e Dodes,8308
Diber,Zalle -Dardhe,8309
Diber,Rec,8310
Diber,Arras,8311
Diber,Lure,8312
Diber,Selishte,8313
Diber,Luzni,8314
Diber,Muhur,8315
Diber,Seman,9326
Diber,Verri,9327
Diber,Fratar,9328
Diber,Kute,9329
Diber,Aranitas,9330
Diber,Greshice,9331
Diber,Hekal,9332
Diber,Dukas,9333
Diber,Ngracan,9334
Diber,Selite,9335
Elbasan,Elbasan 1,3001
Elbasan,Elbasan 2,3002
Elbasan,Elbasan 3,3003
Elbasan,Elbasan 4,3004
Elbasan,Elbasan 5,3005
Elbasan,Elbasan 6,3006
Elbasan,Cerrik,3007
Elbasan,Belsh,3008
Elbasan,Bradashesh,3009
Elbasan,Labinot Fushe,3010
Elbasan,Shirgjan,3011
Elbasan,Gracen,3012
Elbasan,Funar,3013
Elbasan,Gjinar,3014
Elbasan,Zavaline,3015
Elbasan,Paper,3016
Elbasan,Shales,3017
Elbasan,Gostime,3018
Elbasan,Mollas,3019
Elbasan,Klos,3020
Elbasan,Grekan,3021
Elbasan,Kajan,3022
Elbasan,Fierze,3023
Elbasan,Labinot Mal,3024
Elbasan,Shushice,3025
Elbasan,Tregan,3026
Elbasan,Gjergjan,3027
Fier,Fier Qender,9301
Fier,Fier 1,9302
Fier,Fier 2,9303
Fier,Fier 3,9304
Fier,Fier 4,9305
Fier,Roskovec,9306
Fier,Patos,9307
Fier,Ballsh,9308
Fier,Deremenas,9309
Fier,Libofshe,9310
Fier,Cakran,9311
Fier,Ruzhdie,9312
Fier,Frakull,9313
Fier,Levan,9314
Fier,Kuman,9315
Fier,Kurjan,9316
Fier,Zharez,9317
Fier,Portez,9318
Fier,Strum,9319
Fier,Suk,9320
Fier,Ngjeqar,9321
Fier,Fier-Ferme,9322
Fier,Povelce,9323
Fier,Kreshpan,9324
Fier,Buzemadh,9325
Fier,Xarre,9707
Fier,Markat,9708
Fier,Shales,9709
Fier,Aliko,9710
Fier,Memoraq,9711
Fier,Cerkovic,9712
Fier,Lukove,9713
Fier,Borsh,9714
Fier,Piqeras,9715
Fier,Finiq,9716
Fier,Mesapotam,9717
Fier,Rusan,9718
Fier,Stjar,9719
Fier,Vergo,9720
Fier,Livadhja,9721
Gjirokaster,Qender,6001
Gjirokaster,Gjirokastra 1,6002
Gjirokaster,Libohove,6003
Gjirokaster,Lazarat,6004
Gjirokaster,Sofratike,6005
Gjirokaster,Vrisera,6006
Gjirokaster,Polican,6007
Gjirokaster,Erind,6008
Gjirokaster,Palokaster,6009
Gjirokaster,Dervican,6010
Gjirokaster,Jorgucat,6011
Gjirokaster,Nivan,6012
Gjirokaster,Valare,6013
Gjirokaster,Ura e Kardhiqit,6014
Gjirokaster,Labove,6015
Gjirokaster,Suhe,6016
Gjirokaster,Antigone,6017
Gjirokaster,Dhoksat,6018
Gjirokaster,Picar,6019
Gramsh,Gramsh Qender,3301
Gramsh,Pishaj,3302
Gramsh,Skenderbegas,3303
Gramsh,Sult,3304
Gramsh,Kukur,3305
Gramsh,Kushove,3306
Gramsh,Tunje,3307
Gramsh,Porocan,3308
Gramsh,Lenie,3309
Gramsh,Kodovjat,3310
Has,Qender,8601
Has,Krume 1,8602
Has,Golaj,8603
Has,Fajza,8604
Has,Gjinaj,8605
Kavaje,Kavaja Qender,2501
Kavaje,Kavaja 1,2502
Kavaje,Rrogozhine,2503
Kavaje,Golem,2504
Kavaje,Synej,2505
Kavaje,Helmas,2506
Kavaje,Lekaj,2507
Kavaje,Gose,2508
Kavaje,Luz i Vogel,2509
Kavaje,Kryevidh,2510
Kavaje,Sinaballaj,2511
Kolonje(Erseke),Qender Ersek,7401
Kolonje(Erseke),Qender Leskovik,7402
Kolonje(Erseke),Mollas,7403
Kolonje(Erseke),Barmash,7404
Kolonje(Erseke),Novosele,7405
Kolonje(Erseke),Clirim,7406
Korce,Qender,7001
Korce,Korca 1,7002
Korce,Korca 2,7003
Korce,Korca 3,7004
Korce,Qender Maliq,7005
Korce,Qender Bilisht,7006
Korce,Miras,7007
Korce,Bitincke,7008
Korce,Hocisht,7009
Korce,Fitore,7010
Korce,Proger,7011
