state,city,zipcode
Bacs-Kiskun,Kecskemet,6000
Bacs-Kiskun,Kecskemet,6008
Bacs-Kiskun,Szentkiraly,6031
Bacs-Kiskun,Nyarlorinc,6032
Bacs-Kiskun,Varosfold,6033
Bacs-Kiskun,Helvecia,6034
Bacs-Kiskun,Balloszog,6035
Bacs-Kiskun,Kerekegyhaza,6041
Bacs-Kiskun,Fulophaza,6042
Bacs-Kiskun,Kunbaracs,6043
Bacs-Kiskun,Kecskemet,6044
Bacs-Kiskun,Ladanybene,6045
Bacs-Kiskun,Lajosmizse,6050
Bacs-Kiskun,Felsolajos,6055
Bacs-Kiskun,Tiszakecske,6060
Bacs-Kiskun,Tiszakecske,6062
Bacs-Kiskun,Tiszaug,6064
Bacs-Kiskun,Lakitelek,6065
Bacs-Kiskun,Tiszaalpar,6066
Bacs-Kiskun,Tiszaalpar,6067
Bacs-Kiskun,Izsak,6070
Bacs-Kiskun,Pahi,6075
Bacs-Kiskun,agasegyhaza,6076
Bacs-Kiskun,Orgovany,6077
Bacs-Kiskun,Jakabszallas,6078
Bacs-Kiskun,Szabadszallas,6080
Bacs-Kiskun,Fulopszallas,6085
Bacs-Kiskun,Szalkszentmarton,6086
Bacs-Kiskun,Dunavecse,6087
Bacs-Kiskun,Apostag,6088
Bacs-Kiskun,Kunszentmiklos,6090
Bacs-Kiskun,Kunpeszer,6096
Bacs-Kiskun,Kunadacs,6097
Bacs-Kiskun,Tass,6098
Bacs-Kiskun,Kiskunfelegyhaza,6100
Bacs-Kiskun,Gater,6111
Bacs-Kiskun,Palmonostora,6112
Bacs-Kiskun,Petofiszallas,6113
Bacs-Kiskun,Bugac,6114
Bacs-Kiskun,Bugacpusztahaza,6114
Bacs-Kiskun,Kunszallas,6115
Bacs-Kiskun,Fulopjakab,6116
Bacs-Kiskun,Kiskunmajsa,6120
Bacs-Kiskun,Szank,6131
Bacs-Kiskun,Moricgat,6132
Bacs-Kiskun,Jaszszentlaszlo,6133
Bacs-Kiskun,Kompoc,6134
Bacs-Kiskun,Csolyospalos,6135
Bacs-Kiskun,Harkakotony,6136
Bacs-Kiskun,Kiskoros,6200
Bacs-Kiskun,Kaskantyu,6211
Bacs-Kiskun,Akaszto,6221
Bacs-Kiskun,Csengod,6222
Bacs-Kiskun,Soltszentimre,6223
Bacs-Kiskun,Tabdi,6224
Bacs-Kiskun,Soltvadkert,6230
Bacs-Kiskun,Bocsa,6235
Bacs-Kiskun,Tazlar,6236
Bacs-Kiskun,Kecel,6237
Bacs-Kiskun,Imrehegy,6238
Bacs-Kiskun,Csaszartoltes,6239
Bacs-Kiskun,Kalocsa,6300
Bacs-Kiskun,oregcserto,6311
Bacs-Kiskun,Solt,6320
Bacs-Kiskun,ujsolt,6321
Bacs-Kiskun,Dunaegyhaza,6323
Bacs-Kiskun,Dunatetetlen,6325
Bacs-Kiskun,Harta,6326
Bacs-Kiskun,Harta,6327
Bacs-Kiskun,Dunapataj,6328
Bacs-Kiskun,Fokto,6331
Bacs-Kiskun,Uszod,6332
Bacs-Kiskun,Dunaszentbenedek,6333
Bacs-Kiskun,Gederlak,6334
Bacs-Kiskun,Ordas,6335
Bacs-Kiskun,Szakmar,6336
Bacs-Kiskun,ujtelek,6337
Bacs-Kiskun,Homokmegy,6341
Bacs-Kiskun,Dragszel,6342
Bacs-Kiskun,Miske,6343
Bacs-Kiskun,Hajos,6344
Bacs-Kiskun,Nemesnadudvar,6345
Bacs-Kiskun,Sukosd,6346
Bacs-Kiskun,ersekcsanad,6347
Bacs-Kiskun,ersekhalma,6348
Bacs-Kiskun,Batya,6351
Bacs-Kiskun,Fajsz,6352
Bacs-Kiskun,Dusnok,6353
Bacs-Kiskun,Kiskunhalas,6400
Bacs-Kiskun,Zsana,6411
Bacs-Kiskun,Balotaszallas,6412
Bacs-Kiskun,Kunfeherto,6413
Bacs-Kiskun,Pirto,6414
Bacs-Kiskun,Kisszallas,6421
Bacs-Kiskun,Tompa,6422
Bacs-Kiskun,Kelebia,6423
Bacs-Kiskun,Csikeria,6424
Bacs-Kiskun,Bacsszolos,6425
Bacs-Kiskun,Bacsalmas,6430
Bacs-Kiskun,Kunbaja,6435
Bacs-Kiskun,Janoshalma,6440
Bacs-Kiskun,Keleshalom,6444
Bacs-Kiskun,Borota,6445
Bacs-Kiskun,Rem,6446
Bacs-Kiskun,Felsoszentivan,6447
Bacs-Kiskun,Csavoly,6448
Bacs-Kiskun,Melykut,6449
Bacs-Kiskun,Tatahaza,6451
Bacs-Kiskun,Matetelke,6452
Bacs-Kiskun,Bacsbokod,6453
Bacs-Kiskun,Bacsborsod,6454
Bacs-Kiskun,Katymar,6455
Bacs-Kiskun,Madaras,6456
Bacs-Kiskun,Baja,6500
Bacs-Kiskun,Baja,6503
Bacs-Kiskun,Bacsszentgyorgy,6511
Bacs-Kiskun,Szeremle,6512
Bacs-Kiskun,Dunafalva,6513
Bacs-Kiskun,Vaskut,6521
Bacs-Kiskun,Gara,6522
Bacs-Kiskun,Csatalja,6523
Bacs-Kiskun,Davod,6524
Bacs-Kiskun,Hercegszanto,6525
Bacs-Kiskun,Nagybaracska,6527
Bacs-Kiskun,Batmonostor,6528
Baranya,Szarasz,7188
Baranya,Komlo,7300
Baranya,Manfa,7304
Baranya,Mecsekpoloske,7305
Baranya,Liget,7331
Baranya,Magyaregregy,7332
Baranya,Karasz,7333
Baranya,Vekeny,7333
Baranya,Kobleny,7334
Baranya,Szalatnak,7334
Baranya,Magocs,7342
Baranya,Nagyhajmas,7343
Baranya,Mekenyes,7344
Baranya,Alsomocsolad,7345
Baranya,Bikal,7346
Baranya,Egyhazaskozar,7347
Baranya,Hegyhatmaroc,7348
Baranya,Tofu,7348
Baranya,Szaszvar,7349
Baranya,Maza,7351
Baranya,Felsoegerszeg,7370
Baranya,Mezod,7370
Baranya,Oroszlo,7370
Baranya,Pale,7370
Baranya,Sasd,7370
Baranya,Varga,7370
Baranya,Vazsnok,7370
Baranya,ag,7381
Baranya,Kisvaszar,7381
Baranya,Tekes,7381
Baranya,Baranyaszentgyorgy,7383
Baranya,Szagy,7383
Baranya,Tormas,7383
Baranya,Baranyajeno,7384
Baranya,Godre,7385
Baranya,Godre,7386
Baranya,Kisbeszterce,7391
Baranya,Kishajmas,7391
Baranya,Mindszentgodisa,7391
Baranya,Bakoca,7393
Baranya,Bodolyaber,7394
Baranya,Magyarhertelend,7394
Baranya,Magyarszek,7396
Baranya,Pecs,7600
Baranya,Pecs,7621
Baranya,Pecs,7622
Baranya,Pecs,7623
Baranya,Pecs,7624
Baranya,Pecs,7625
Baranya,Pecs,7626
Baranya,Pecs,7627
Baranya,Pecs,7628
Baranya,Pecs,7629
Baranya,Pecs,7630
Baranya,Pecs,7631
Baranya,Pecs,7632
Baranya,Pecs,7633
Baranya,Pecs,7634
Baranya,Pecs,7635
Baranya,Pecs,7636
Baranya,Kokeny,7639
Baranya,Pecs,7639
Baranya,Erzsebet,7661
Baranya,Katoly,7661
Baranya,Kekesd,7661
Baranya,Szello,7661
Baranya,Mariakemend,7663
Baranya,Berkesd,7664
Baranya,Pereked,7664
Baranya,Szilagy,7664
Baranya,Pogany,7666
Baranya,Gyod,7668
Baranya,Keszu,7668
Baranya,Pecs,7668
Baranya,Aranyosgadany,7671
Baranya,Bicserd,7671
Baranya,Zok,7671
Baranya,Boda,7672
Baranya,Cserkut,7673
Baranya,Kovagoszolos,7673
Baranya,Bakonya,7675
Baranya,Kovagotottos,7675
Baranya,Orfu,7677
Baranya,Abaliget,7678
Baranya,Husztot,7678
Baranya,Kovacsszenaja,7678
Baranya,Hetvehely,7681
Baranya,Okorvolgy,7681
Baranya,Szentkatalin,7681
Baranya,Bukkosd,7682
Baranya,Cserdi,7683
Baranya,Dinnyeberki,7683
Baranya,Helesfa,7683
Baranya,Pecs,7691
Baranya,Pecs,7693
Baranya,Hosszuheteny,7694
Baranya,Mecseknadasd,7695
Baranya,obanya,7695
Baranya,ofalu,7695
Baranya,Hidas,7696
Baranya,Mohacs,7700
Baranya,Bar,7711
Baranya,Dunaszekcso,7712
Baranya,Mohacs,7714
Baranya,Mohacs,7715
Baranya,Homorud,7716
Baranya,Kolked,7717
Baranya,Udvar,7718
Baranya,Apatvarasd,7720
Baranya,Lovaszheteny,7720
Baranya,Martonfa,7720
Baranya,Pecsvarad,7720
Baranya,Zengovarkony,7720
Baranya,Erdosmecske,7723
Baranya,Feked,7724
Baranya,Szebeny,7725
Baranya,Vemend,7726
Baranya,Palotabozsok,7727
Baranya,Gorcsonydoboka,7728
Baranya,Somberek,7728
Baranya,Nagypall,7731
Baranya,Fazekasboda,7732
Baranya,Geresdlak,7733
Baranya,Maraza,7733
Baranya,Erdosmarok,7735
Baranya,Himeshaza,7735
Baranya,Szur,7735
Baranya,Szekelyszabar,7737
Baranya,Nagykozar,7741
Baranya,Bogad,7742
Baranya,Romonya,7743
Baranya,Ellend,7744
Baranya,Hassagy,7745
Baranya,Olasz,7745
Baranya,Belvardgyula,7747
Baranya,Birjan,7747
Baranya,Monyorod,7751
Baranya,Szederkeny,7751
Baranya,Versend,7752
Baranya,Szajk,7753
Baranya,Boly,7754
Baranya,Tottos,7755
Baranya,Borjad,7756
Baranya,Kisbudmer,7756
Baranya,Nagybudmer,7756
Baranya,Pocsa,7756
Baranya,Babarc,7757
Baranya,Liptod,7757
Baranya,Kisnyarad,7759
Baranya,Lanycsok,7759
Baranya,Kozarmisleny,7761
Baranya,Lothard,7761
Baranya,Magyarsarlos,7761
Baranya,Pecsudvard,7762
Baranya,ata,7763
Baranya,Egerag,7763
Baranya,Kisherend,7763
Baranya,Szemely,7763
Baranya,Szoked,7763
Baranya,Kiskassa,7766
Baranya,Pecsdevecser,7766
