state,city,zipcode
Adazu,ILkene,LV-2103
Adazu,Kadaga,LV-2103
Adazu,ani,LV-2136
Adazu,ani,LV-2137
Adazu,Garkalne,LV-2137
Adazu,adazi,LV-2164
Adazu,Alderi,LV-2164
Adazu,Atari,LV-2164
Adazu,Baltezers,LV-2164
Adazu,Birznieki,LV-2164
Adazu,Divezeri,LV-2164
Adazu,Eimuri,LV-2164
Adazu,Garkalne,LV-2164
Adazu,Kadaga,LV-2164
Adazu,Staprini,LV-2164
Aglonas,Aglona,LV-5304
Aglonas,Aglonas Madelani,LV-5304
Aglonas,Akatnieki,LV-5304
Aglonas,ALhovka,LV-5304
Aglonas,Ancverini 1,LV-5304
Aglonas,Ancverini 2,LV-5304
Aglonas,Atskiras Madelani,LV-5304
Aglonas,Beki,LV-5304
Aglonas,Berzgale,LV-5304
Aglonas,Besoni,LV-5304
Aglonas,Botori,LV-5304
Aglonas,Bruveri,LV-5304
Aglonas,Cecerski,LV-5304
Aglonas,CegeLna,LV-5304
Aglonas,cuhnani,LV-5304
Aglonas,Dimperi,LV-5304
Aglonas,Dudiski,LV-5304
Aglonas,Dzervanki,LV-5304
Aglonas,Ezera Ukini,LV-5304
Aglonas,Fintmuiza,LV-5304
Aglonas,Gorodoka,LV-5304
Aglonas,GuLbinka,LV-5304
Aglonas,Guteni,LV-5304
Aglonas,Janova,LV-5304
Aglonas,Jaudzemi,LV-5304
Aglonas,Jaunaglona,LV-5304
Aglonas,JaunsekLi,LV-5304
Aglonas,Jonani,LV-5304
Aglonas,Kapini,LV-5304
Aglonas,Kapinu RuskuLi,LV-5304
Aglonas,KavaLi,LV-5304
Aglonas,Kazimirovka,LV-5304
Aglonas,Kodori,LV-5304
Aglonas,Krivoseji,LV-5304
Aglonas,Kukari,LV-5304
Aglonas,Kundziniski,LV-5304
Aglonas,Leitani,LV-5304
Aglonas,Lielie Bernani,LV-5304
Aglonas,Lielie DzerkaLi,LV-5304
Aglonas,Livdani,LV-5304
Aglonas,Livdaniski,LV-5304
Aglonas,Lopoti,LV-5304
Aglonas,Luckini,LV-5304
Aglonas,Marjanova,LV-5304
Aglonas,Matisani,LV-5304
Aglonas,Mazie Bernani,LV-5304
Aglonas,Mazie DzerkaLi,LV-5304
Aglonas,MeiruLi,LV-5304
Aglonas,Meza Dauksti,LV-5304
Aglonas,Meza Ukini,LV-5304
Aglonas,Misani,LV-5304
Aglonas,Novinki,LV-5304
Aglonas,Ostrova,LV-5304
Aglonas,Otoriski,LV-5304
Aglonas,Peski,LV-5304
Aglonas,Puzaniski,LV-5304
Aglonas,Rajecki,LV-5304
Aglonas,Repsi,LV-5304
Aglonas,Rivari,LV-5304
Aglonas,Rivariski,LV-5304
Aglonas,Rotka,LV-5304
Aglonas,RuskuLi,LV-5304
Aglonas,Ruskuliski,LV-5304
Aglonas,RutuLi,LV-5304
Aglonas,Rutuliski,LV-5304
Aglonas,Salenieki,LV-5304
Aglonas,SekLa Dauksti,LV-5304
Aglonas,SekLi,LV-5304
Aglonas,Sgajevski,LV-5304
Aglonas,Sienapurvs,LV-5304
Aglonas,Sila Dauksti,LV-5304
Aglonas,Skudru Grebezi,LV-5304
Aglonas,Skujas,LV-5304
Aglonas,Smani,LV-5304
Aglonas,Spiki,LV-5304
Aglonas,Starodvorje,LV-5304
