state,city,zipcode
Alytus County,Alytus,62001
Alytus County,Aniskio k.,62001
Alytus County,Arminu k.,62001
Alytus County,Baksiu k.,62001
Alytus County,Bazoru k.,62001
Alytus County,Bemotiskiu k.,62001
Alytus County,Budos k.,62001
Alytus County,Bundoriu k.,62001
Alytus County,ciziku k.,62001
Alytus County,Dubenkos k.,62001
Alytus County,Dubenu k.,62001
Alytus County,Geistariskiu k.,62001
Alytus County,Geistaru k.,62001
Alytus County,Geistaruku k.,62001
Alytus County,Gervenu k.,62001
Alytus County,Jasunsku k.,62001
Alytus County,Jovaisoniu k.,62001
Alytus County,Juociskiu k.,62001
Alytus County,Jurgelianka,62001
Alytus County,Jurgelioniu l k.,62001
Alytus County,Jurgelioniu ll k.,62001
Alytus County,Jurgiskiu k.,62001
Alytus County,Kaniuku k.,62001
Alytus County,Karkliniskiu k.,62001
Alytus County,Kibirksciu k.,62001
Alytus County,Kriauniu k.,62001
Alytus County,Lelioniu k.,62001
Alytus County,Likiskeliu k.,62001
Alytus County,Likiskiu k.,62001
Alytus County,Luksnenu k.,62001
Alytus County,Margaravos k.,62001
Alytus County,Miknolesu k.,62001
Alytus County,Mikutiskiu k.,62001
Alytus County,Navasodu k.,62001
Alytus County,Navicku k.,62001
Alytus County,Nemunaicio k.,62001
Alytus County,Norunu k.,62001
Alytus County,Padagles k.,62001
Alytus County,Panemuninku k.,62001
Alytus County,Praniunu k.,62001
Alytus County,Pusenu k,62001
Alytus County,Putinu k.,62001
Alytus County,Radviloniu k.,62001
Alytus County,Radziunu k.,62001
Alytus County,Rauboniu k.,62001
Alytus County,Revu k.,62001
Alytus County,Rumboniu k.,62001
Alytus County,SB ?Dobilas?,62001
Alytus County,SB ?Pusele?,62001
Alytus County,SB ?Rugelis?,62001
Alytus County,SB ?Sakalas?,62001
Alytus County,SB ?silas?,62001
Alytus County,SB ?Volungele?,62001
Alytus County,Skraicioniu k.,62001
Alytus County,Sudvaju k.,62001
Alytus County,Tabalenkos k.,62001
Alytus County,Takniskiu k.,62001
Alytus County,Talokiu k.,62001
Alytus County,Ulyskiu k.,62001
Alytus County,Volunges k.,62001
Alytus County,Zaidu k.,62001
Alytus County,zaunieriskiu k.,62001
Alytus County,zemaiteliu k.,62001
Alytus County,Alytus,62014
Alytus County,Butrimiskiu k.,62014
Alytus County,Daugirdeliu k.,62014
Alytus County,Likiskiu k.,62014
Alytus County,Miklusenu k.,62014
Alytus County,Putinu vienk.,62014
Alytus County,Uzubaliu k.,62014
Alytus County,Alytus,63001
Alytus County,Alytaus k.,64001
Alytus County,Domantoniu k.,64001
Alytus County,Jurkioniu k.,64001
Alytus County,Kalesninku k.,64001
Alytus County,Kaniuku k.,64001
Alytus County,Mikalavo k.,64001
Alytus County,Muizelenu k.,64001
Alytus County,Poteroniu k.,64001
Alytus County,SB ?Berzelis?,64001
Alytus County,SB ?Nemunas ?,64001
Alytus County,Skernes k.,64001
Alytus County,Terpiniu k.,64001
Alytus County,Ulysku k.,64001
Alytus County,Vaidaugu k.,64001
Alytus County,Venciunu k.,64001
Alytus County,venciunu pastas,64001
Alytus County,Veziskiu k.,64001
Alytus County,zidoniu k.,64001
Alytus County,Akalycios k.,64005
Alytus County,Aloves k.,64005
Alytus County,Bokstu k.,64005
Alytus County,Davainiskiu k.,64005
Alytus County,Dobrovoles k.,64005
Alytus County,Ilgu k.,64005
Alytus County,Janapolio k.,64005
Alytus County,Kaciolku k.,64005
Alytus County,Kampu k.,64005
Alytus County,Klausiskiu k.,64005
Alytus County,Kudariskiu k.,64005
Alytus County,Kutiskiu k.,64005
Alytus County,Laukininku k.,64005
Alytus County,Margeliu k.,64005
Alytus County,Meskasalio k.,64005
Alytus County,Obelaiciu k.,64005
Alytus County,Pagurniu k.,64005
Alytus County,Plikioniu k.,64005
Alytus County,Poteroniu k.,64005
Alytus County,Raudonosios Aloves k.,64005
Alytus County,saukenu k.,64005
Alytus County,Skirgailiu k.,64005
Alytus County,Slabadeles k.,64005
Alytus County,svabalaukio k.,64005
Alytus County,svobiskiu k.,64005
Alytus County,Vabaliu k.,64005
Alytus County,Valeniskiu k.,64005
Alytus County,zarnoniu k.,64005
Alytus County,Arciunu k.,64009
Alytus County,Atzalyno k.,64009
Alytus County,Bogusiskiu k.,64009
Alytus County,Budos k.,64009
Alytus County,Bukauciskiu k.,64009
Alytus County,Daugai,64009
Alytus County,Daugu k.,64009
Alytus County,Doskoniu k.,64009
Alytus County,Dvarcenu k.,64009
Alytus County,Giniskiu k.,64009
Alytus County,Griciunu k.,64009
Alytus County,Kancenu k.,64009
Alytus County,Karliskiu k.,64009
Alytus County,Melnyteles k.,64009
Alytus County,Meskuciu k.,64009
Alytus County,Mieliunu k.,64009
Alytus County,Novoplentos k.,64009
Alytus County,Pagiles k.,64009
Alytus County,Pavartenu k.,64009
Alytus County,Pavartes k.,64009
Alytus County,Poceloniu k.,64009
Alytus County,Pociuniskiu k.,64009
Alytus County,Purveliu k.,64009
Alytus County,Rakatansku k.,64009
Alytus County,Rakscios k.,64009
Alytus County,Rimenu k.,64009
Alytus County,Rodzios k.,64009
Alytus County,Rokanciu k.,64009
Alytus County,Salos k.,64009
Alytus County,siuksciakalnio k.,64009
Alytus County,Skabeikiu k.,64009
Alytus County,Slavinciskiu k.,64009
Alytus County,Tamasavos k.,64009
Alytus County,Vaikantoniu k.,64009
Alytus County,Vezioniu k.,64009
Alytus County,Vieciunu k.,64009
Alytus County,Vinksnines k.,64009
Alytus County,zilinciskiu k.,64009
Alytus County,zvirgzdenu k.,64009
