state,city,zipcode
Alba,Barabant,510001
Alba,Alba Iulia,510002
Alba,Micesti,510002
Alba,Oarda,510003
Alba,Paclisa,510004
Alba,Alba Iulia,510005
Alba,Alba Iulia,510006
Alba,Alba Iulia,510007
Alba,Alba Iulia,510008
Alba,Alba Iulia,510009
Alba,Alba Iulia,510010
Alba,Alba Iulia,510011
Alba,Alba Iulia,510012
Alba,Alba Iulia,510014
Alba,Alba Iulia,510016
Alba,Alba Iulia,510017
Alba,Alba Iulia,510021
Alba,Alba Iulia,510022
Alba,Alba Iulia,510026
Alba,Alba Iulia,510029
Alba,Alba Iulia,510030
Alba,Alba Iulia,510031
Alba,Alba Iulia,510032
Alba,Alba Iulia,510033
Alba,Alba Iulia,510034
Alba,Alba Iulia,510037
Alba,Alba Iulia,510039
Alba,Alba Iulia,510040
Alba,Alba Iulia,510041
Alba,Alba Iulia,510042
Alba,Alba Iulia,510045
Alba,Alba Iulia,510046
Alba,Alba Iulia,510047
Alba,Alba Iulia,510048
Alba,Alba Iulia,510049
Alba,Alba Iulia,510050
Alba,Alba Iulia,510053
Alba,Alba Iulia,510054
Alba,Alba Iulia,510055
Alba,Alba Iulia,510056
Alba,Alba Iulia,510057
Alba,Alba Iulia,510061
Alba,Alba Iulia,510062
Alba,Alba Iulia,510063
Alba,Alba Iulia,510064
Alba,Alba Iulia,510065
Alba,Alba Iulia,510066
Alba,Alba Iulia,510070
Alba,Alba Iulia,510072
Alba,Alba Iulia,510073
Alba,Alba Iulia,510077
Alba,Alba Iulia,510078
Alba,Alba Iulia,510079
Alba,Alba Iulia,510080
Alba,Alba Iulia,510081
Alba,Alba Iulia,510082
Alba,Alba Iulia,510083
Alba,Alba Iulia,510084
Alba,Alba Iulia,510085
Alba,Alba Iulia,510086
Alba,Alba Iulia,510087
Alba,Alba Iulia,510088
Alba,Alba Iulia,510089
Alba,Alba Iulia,510090
Alba,Alba Iulia,510093
Alba,Alba Iulia,510094
Alba,Alba Iulia,510095
Alba,Alba Iulia,510096
Alba,Alba Iulia,510097
Alba,Alba Iulia,510101
Alba,Alba Iulia,510102
Alba,Alba Iulia,510103
Alba,Alba Iulia,510104
Alba,Alba Iulia,510105
Alba,Alba Iulia,510106
Alba,Alba Iulia,510109
Alba,Alba Iulia,510110
Alba,Alba Iulia,510111
Alba,Alba Iulia,510112
Alba,Alba Iulia,510113
Alba,Alba Iulia,510114
Alba,Alba Iulia,510115
Alba,Alba Iulia,510116
Alba,Alba Iulia,510117
Alba,Alba Iulia,510118
Alba,Alba Iulia,510119
Alba,Alba Iulia,510120
Alba,Alba Iulia,510121
Alba,Alba Iulia,510122
Alba,Alba Iulia,510124
Alba,Alba Iulia,510125
Alba,Alba Iulia,510126
Alba,Alba Iulia,510127
Alba,Alba Iulia,510128
Alba,Alba Iulia,510129
Alba,Alba Iulia,510134
Alba,Alba Iulia,510135
Alba,Alba Iulia,510136
Alba,Alba Iulia,510137
Alba,Alba Iulia,510138
Alba,Alba Iulia,510141
Alba,Alba Iulia,510142
Alba,Alba Iulia,510143
Alba,Alba Iulia,510144
Alba,Alba Iulia,510145
Alba,Alba Iulia,510146
Alba,Alba Iulia,510147
Alba,Alba Iulia,510149
Alba,Alba Iulia,510150
Alba,Alba Iulia,510151
Alba,Alba Iulia,510152
Alba,Alba Iulia,510153
Alba,Alba Iulia,510154
Alba,Alba Iulia,510155
Alba,Alba Iulia,510156
Alba,Alba Iulia,510157
Alba,Alba Iulia,510158
Alba,Alba Iulia,510159
Alba,Alba Iulia,510160
Alba,Alba Iulia,510161
Alba,Alba Iulia,510162
Alba,Alba Iulia,510163
Alba,Alba Iulia,510164
Alba,Alba Iulia,510165
Alba,Alba Iulia,510166
Alba,Alba Iulia,510167
Alba,Alba Iulia,510168
Alba,Alba Iulia,510169
Alba,Alba Iulia,510170
Alba,Alba Iulia,510171
Alba,Alba Iulia,510172
Alba,Alba Iulia,510173
Alba,Alba Iulia,510174
Alba,Alba Iulia,510175
Alba,Alba Iulia,510176
Alba,Alba Iulia,510177
Alba,Alba Iulia,510178
Alba,Alba Iulia,510179
Alba,Alba Iulia,510181
Alba,Alba Iulia,510182
Alba,Alba Iulia,510183
Alba,Alba Iulia,510184
Alba,Alba Iulia,510185
Alba,Alba Iulia,510186
Alba,Alba Iulia,510187
Alba,Alba Iulia,510189
Alba,Alba Iulia,510190
Alba,Alba Iulia,510191
Alba,Alba Iulia,510192
Alba,Alba Iulia,510193
Alba,Alba Iulia,510194
Alba,Alba Iulia,510197
Alba,Alba Iulia,510198
Alba,Alba Iulia,510199
Alba,Alba Iulia,510200
Alba,Alba Iulia,510201
Alba,Alba Iulia,510202
Alba,Alba Iulia,510205
Alba,Alba Iulia,510206
Alba,Alba Iulia,510207
Alba,Alba Iulia,510208
Alba,Alba Iulia,510209
Alba,Alba Iulia,510210
Alba,Alba Iulia,510211
Alba,Alba Iulia,510213
Alba,Alba Iulia,510214
Alba,Alba Iulia,510215
Alba,Alba Iulia,510216
Alba,Alba Iulia,510217
Alba,Alba Iulia,510218
Alba,Alba Iulia,510219
Alba,Alba Iulia,510220
Alba,Alba Iulia,510221
Alba,Alba Iulia,510222
Alba,Alba Iulia,510223
Alba,Alba Iulia,510224
Alba,Alba Iulia,510225
Alba,Alba Iulia,510226
Alba,Alba Iulia,510227
Alba,Alba Iulia,510228
Alba,Alba Iulia,510229
Alba,Alba Iulia,510230
Alba,Alba Iulia,510231
Alba,Alba Iulia,510232
Alba,Alba Iulia,510233
Alba,Alba Iulia,510234
Alba,Alba Iulia,510235
Alba,Alba Iulia,510236
Alba,Alba Iulia,510237
Alba,Alba Iulia,510238
Alba,Alba Iulia,510239
Alba,Alba Iulia,510240
Alba,Alba Iulia,510241
Alba,Alba Iulia,510242
Alba,Alba Iulia,510243
Alba,Alba Iulia,510244
Alba,Alba Iulia,510245
Alba,Alba Iulia,510246
Alba,Alba Iulia,510247
Alba,Alba Iulia,510248
Alba,Alba Iulia,510249
Alba,Alba Iulia,510250
Alba,Alba Iulia,510251
Alba,Alba Iulia,510252
Alba,Alba Iulia,510253
Alba,Alba Iulia,510254
Alba,Alba Iulia,510255
Alba,Alba Iulia,510256
Alba,Alba Iulia,510257
Alba,Alba Iulia,510258
Alba,Alba Iulia,510259
Alba,Alba Iulia,510260
Alba,Alba Iulia,510261
Alba,Alba Iulia,510262
Alba,Alba Iulia,510263
Alba,Alba Iulia,510264
Alba,Alba Iulia,510265
Alba,Alba Iulia,510266
Alba,Alba Iulia,510267
Alba,Alba Iulia,510268
Alba,Alba Iulia,510269
Alba,Alba Iulia,510270
Alba,Alba Iulia,510271
Alba,Alba Iulia,510272
Alba,Alba Iulia,510273
Alba,Alba Iulia,510274
Alba,Alba Iulia,510275
Alba,Alba Iulia,510276
Alba,Alba Iulia,510277
Alba,Alba Iulia,510278
Alba,Alba Iulia,510279
Alba,Alba Iulia,510280
Alba,Alba Iulia,510281
Alba,Alba Iulia,510282
Alba,Alba Iulia,510283
Alba,Alba Iulia,510284
Alba,Alba Iulia,510285
Alba,Alba Iulia,510286
Alba,Alba Iulia,510287
Alba,Alba Iulia,510288
Alba,Alba Iulia,510289
Alba,Alba Iulia,510290
Alba,Alba Iulia,510291
Alba,Alba Iulia,510292
Alba,Alba Iulia,510293
Alba,Alba Iulia,510294
Alba,Alba Iulia,510295
Alba,Alba Iulia,510296
Alba,Alba Iulia,510297
Alba,Alba Iulia,510298
Alba,Alba Iulia,510299
Alba,Alba Iulia,510301
Alba,Alba Iulia,510302
Alba,Alba Iulia,510303
Alba,Alba Iulia,510304
Alba,Alba Iulia,510305
Alba,Alba Iulia,510306
Alba,Alba Iulia,510307
Alba,Alba Iulia,510308
Alba,Alba Iulia,510309
Alba,Alba Iulia,510311
Alba,Alba Iulia,510312
Alba,Alba Iulia,510313
Alba,Alba Iulia,510314
Alba,Alba Iulia,510315
Alba,Alba Iulia,510316
Alba,Alba Iulia,510317
Alba,Alba Iulia,510318
Alba,Alba Iulia,510319
Alba,Alba Iulia,510321
Alba,Alba Iulia,510322
Alba,Alba Iulia,510323
Alba,Alba Iulia,510324
Alba,Alba Iulia,510325
Alba,Alba Iulia,510326
Alba,Alba Iulia,510327
Alba,Alba Iulia,510328
Alba,Alba Iulia,510329
Alba,Alba Iulia,510331
Alba,Alba Iulia,510332
Alba,Alba Iulia,510333
Alba,Alba Iulia,510334
Alba,Alba Iulia,510335
Alba,Alba Iulia,510336
Alba,Alba Iulia,510337
Alba,Alba Iulia,510338
Alba,Alba Iulia,510339
Alba,Alba Iulia,510341
Alba,Alba Iulia,510342
Alba,Alba Iulia,510343
Alba,Alba Iulia,510344
Alba,Alba Iulia,510345
Alba,Alba Iulia,510346
Alba,Alba Iulia,510347
Alba,Alba Iulia,510348
Alba,Alba Iulia,510351
Alba,Alba Iulia,510352
Alba,Alba Iulia,510353
Alba,Alba Iulia,510354
Alba,Alba Iulia,510355
Alba,Alba Iulia,510356
Alba,Alba Iulia,510357
Alba,Alba Iulia,510358
Alba,Alba Iulia,510359
Alba,Alba Iulia,510361
Alba,Alba Iulia,510362
Alba,Alba Iulia,510363
Alba,Alba Iulia,510364
Alba,Alba Iulia,510365
Alba,Alba Iulia,510366
Alba,Alba Iulia,510367
Alba,Alba Iulia,510368
Alba,Alba Iulia,510369
Alba,Alba Iulia,510371
Alba,Alba Iulia,510372
Alba,Alba Iulia,510373
Alba,Alba Iulia,510374
Alba,Alba Iulia,510375
Alba,Alba Iulia,510376
Alba,Alba Iulia,510377
Alba,Alba Iulia,510378
Alba,Alba Iulia,510379
Alba,Alba Iulia,510381
Alba,Alba Iulia,510382
Alba,Alba Iulia,510383
Alba,Alba Iulia,510399
Alba,Alba Iulia,510401
Alba,Alba Iulia,510402
Alba,Alba Iulia,510403
Alba,Alba Iulia,510404
Alba,Alba Iulia,510405
Alba,Alba Iulia,510406
Alba,Alba Iulia,510407
Alba,Alba Iulia,510408
Alba,Abrud,515100
Alba,Abrud-Sat,515101
Alba,Gura Cornei,515102
Alba,Soharu,515103
Alba,Aiud,515200
Alba,Aiudul de Sus,515201
Alba,Ciumbrud,515202
Alba,Gambas,515203
Alba,Garbova de Jos,515204
Alba,Garbova de Sus,515205
Alba,Garbovita,515206
Alba,Magina,515207
Alba,Pagida,515208
Alba,Sancrai,515209
Alba,tifra,515210
Alba,Baia de Aries,515300
Alba,Brazesti,515301
Alba,Cioara de Sus,515302
Alba,Muncelu,515303
Alba,Sartas,515304
Alba,Simulesti,515305
Alba,Blaj,515400
Alba,Deleni-Obarsie,515401
Alba,Flitesti,515402
Alba,Izvoarele (Blaj),515403
Alba,Manarade,515404
Alba,Petrisat,515405
Alba,Spatac,515406
Alba,Tiur,515407
Alba,Veza,515408
Alba,Campeni,515500
Alba,Boncesti,515501
Alba,Borlesti,515502
Alba,Botesti (Campeni),515503
Alba,Certege,515504
Alba,Coasta Vascului,515505
Alba,Dandut,515506
Alba,Dealu Bistrii,515507
Alba,Dealu Capsei,515508
Alba,Dric,515509
Alba,Fata Abrudului,515510
Alba,Floresti (Campeni),515511
Alba,Furduiesti (Campeni),515512
Alba,Mihoesti,515513
Alba,Motorasti,515514
Alba,Peste Valea Bistrii,515515
Alba,Poduri,515516
Alba,Sorlita,515517
Alba,Tomusesti,515518
Alba,Valea Bistrii,515519
Alba,Valea Caselor,515520
Alba,Varsi,515521
Alba,Cugir,515600
Alba,Bocsitura,515601
Alba,Bucuru,515602
Alba,Calene,515603
Alba,Feteni,515604
Alba,Goasele,515605
Alba,Mugesti,515606
Alba,Vinerea,515607
Alba,Ocna Mures,515700
Alba,Cisteiu de Mures,515701
Alba,Micoslaca,515702
Alba,Razboieni-Cetate,515703
Alba,Uioara de Jos,515704
Alba,Uioara de Sus,515705
Alba,Sebes,515800
Alba,Lancram,515801
Alba,Rahau,515802
Alba,Petresti,515850
Alba,Teius,515900
Alba,Beldiu,515901
Alba,Capud,515902
Alba,Coslariu Nou,515903
Alba,Petelca,515904
Alba,Zlatna,516100
Alba,Botesti (Zlatna),516101
Alba,Budeni,516102
Alba,Dealu Roatei,516103
Alba,Dobrot,516104
Alba,Dumbrava (Zlatna),516105
Alba,Fenes,516106
Alba,Galati,516107
Alba,Izvoru Ampoiului,516108
Alba,Patrangeni,516109
Alba,Parau Gruiului,516110
Alba,Pirita,516111
Alba,Podu lui Paul,516112
Alba,Runc (Zlatna),516113
Alba,Rusi,516114
Alba,Suseni,516115
Alba,Trampoiele,516116
Alba,Valea Mica,516117
Alba,Valtori (Zlatna),516118
Alba,Albac,517005
Alba,Barasti,517006
Alba,Budaiesti,517007
Alba,Cionesti,517008
Alba,Costesti (Albac),517009
Alba,Dealu Lamasoi,517011
Alba,Deve,517012
Alba,Dupa Plese,517013
Alba,Fata,517014
Alba,Plesesti,517016
Alba,Potionci,517017
Alba,Rogoz,517018
Alba,Rosesti,517019
Alba,Rusesti,517021
Alba,Sohodol (Albac),517022
Alba,Tamboresti,517023
Alba,Almasu Mare,517030
Alba,Almasu de Mijloc,517031
Alba,Bradet,517032
Alba,Cheile Cibului,517033
Alba,Cib,517034
Alba,Glod,517036
Alba,Hanes Mina,517037
Alba,Nadastia,517038
Alba,Arieseni,517040
Alba,Avramesti (Arieseni),517041
Alba,Bubesti,517042
Alba,Casa de Piatra,517043
Alba,Cobles,517044
Alba,Dealu Bajului,517046
Alba,Fata Cristesei,517047
Alba,Fata Lapusului,517048
Alba,Galbena,517049
Alba,Hodobana,517051
Alba,Izlaz,517052
Alba,Pantesti,517053
Alba,Patrahaitesti,517054
Alba,Poienita (Arieseni),517056
Alba,Ravicesti,517057
Alba,Sturu,517058
Alba,stei-Arieseni,517059
Alba,Vanvucesti,517061
Alba,Avram Iancu,517065
Alba,Achimetesti,517066
Alba,Avramesti (Avram Iancu),517067
Alba,Badai,517068
Alba,Boldesti,517069
Alba,Calugaresti,517071
Alba,Casoaia,517072
Alba,Candesti,517073
Alba,Carasti,517074
Alba,Cartulesti,517076
Alba,Cocesti,517077
Alba,Cocosesti,517078
Alba,Coroiesti,517079
Alba,Dealu Crisului,517081
Alba,Dolesti,517082
Alba,Dumacesti,517083
Alba,Gojeiesti,517084
Alba,Heleresti,517086
Alba,Incesti (Avram Iancu),517087
Alba,Jojei,517088
Alba,Martesti,517089
Alba,Orgesti,517091
Alba,Patrutesti,517092
Alba,Plai (Avram Iancu),517093
Alba,Puselesti,517094
Alba,soicesti,517096
Alba,stertesti,517097
Alba,Tarsa,517098
Alba,Tarsa-Plai,517099
Alba,Valea Maciului,517101
Alba,Valea Utului,517102
Alba,Verdesti,517103
Alba,Vidrisoara,517104
Alba,Berghin,517110
Alba,Ghirbom,517111
Alba,Henig,517112
Alba,Straja,517113
Alba,Bistra,517115
Alba,Aronesti,517116
Alba,Balesti,517117
Alba,Balesti-Catun,517118
Alba,Barlesti (Bistra),517119
Alba,Cheleteni,517121
Alba,Ciuldesti,517122
Alba,Cretesti,517123
Alba,Dambureni,517124
Alba,Dealu Muntelui,517126
Alba,Durasti,517127
Alba,Ganesti,517128
Alba,Garde,517129
Alba,Hodisesti,517131
Alba,Hudricesti,517132
Alba,Lipaia,517133
Alba,Lunca Larga (Bistra),517134
Alba,Lunca Merilor,517136
Alba,Mihaiesti,517137
Alba,Namas,517138
Alba,Novacesti,517139
Alba,Perjesti,517141
Alba,Poiana (Bistra),517142
Alba,Poiu,517143
Alba,Ratitis,517144
Alba,Runcuri,517146
Alba,Salagesti,517147
Alba,stefanca,517148
Alba,Tolacesti,517149
Alba,Tomnatec,517151
Alba,Trisoresti,517152
Alba,taranesti,517153
Alba,Varsi-Rontu,517154
Alba,Varsii Mari,517156
Alba,Varsii Mici,517157
Alba,Blandiana,517160
Alba,Acmariu,517161
Alba,Ibru,517162
Alba,Poieni (Blandiana),517163
Alba,Racatau,517164
Alba,Bucium,517165
Alba,Anghelesti,517166
Alba,Bisericani,517167
Alba,Bucium-Sat,517168
Alba,Cerbu,517169
Alba,Ciuculesti,517171
Alba,Coleseni,517172
Alba,Dogaresti,517173
Alba,Feresti,517174
Alba,Floresti (Bucium),517176
Alba,Gura Izbitei,517177
Alba,Helesti,517178
Alba,Izbicioara,517179
Alba,Izbita,517181
Alba,Jurcuiesti,517182
Alba,Lupulesti,517183
Alba,Magura (Bucium),517184
Alba,Muntari,517186
Alba,Petreni,517187
Alba,Poiana (Bucium),517188
Alba,Poieni (Bucium),517189
Alba,Stalnisoara,517191
Alba,Valea Abruzel,517192
Alba,Valea Alba,517193
Alba,Valea Cerbului,517194
Alba,Valea Negrilesii,517196
Alba,Valea Poienii (Bucium),517197
Alba,Valea sesii (Bucium),517198
Alba,Valeni (Bucium),517199
Alba,Valcea,517201
Alba,Calnic,517205
Alba,Cut,517206
Alba,Deal,517207
Alba,Cenade,517210
Alba,Capu Dealului,517211
Alba,Gorgan,517212
Alba,Cergau,517215
Alba,Cergau Mare,517216
Alba,Cergau Mic,517217
Alba,Lupu,517218
Alba,Ceru-Bacainti,517220
