state,city,zipcode
Celje,Celje,3000
Celje,Celje,3001
Celje,smartno v Rozni dolini,3201
Celje,Ljubecna,3202
Celje,Nova Cerkev,3203
Celje,Dobrna,3204
Celje,Vitanje,3205
Celje,Stranice,3206
Celje,Slovenske Konjice,3210
Celje,skofja vas,3211
Celje,Vojnik,3212
Celje,Frankolovo,3213
Celje,Zrece,3214
Celje,Loce,3215
Celje,store,3220
Celje,Teharje,3221
Celje,Dramlje,3222
Celje,Loka pri zusmu,3223
Celje,Dobje pri Planini,3224
Celje,Planina pri Sevnici,3225
Celje,sentjur,3230
Celje,Grobelno,3231
Celje,Ponikva,3232
Celje,Kalobje,3233
Celje,smarje pri Jelsah,3240
Celje,Podplat,3241
Celje,Rogaska Slatina,3250
Celje,Rogatec,3252
Celje,Pristava pri Mestinju,3253
Celje,Podcetrtek,3254
Celje,Buce,3255
Celje,Bistrica ob Sotli,3256
Celje,Podsreda,3257
Celje,Kozje,3260
Celje,Lesicno,3261
Celje,Prevorje,3262
Celje,Gorica pri Slivnici,3263
Celje,Sveti stefan,3264
Celje,Lasko,3270
Celje,sentrupert,3271
Celje,Rimske Toplice,3272
Celje,Jurkloster,3273
Celje,Petrovce,3301
Celje,Grize,3302
Celje,Gomilsko,3303
Celje,Tabor,3304
Celje,Vransko,3305
Celje,zalec,3310
Celje,sempeter v Savinjski dolini,3311
Celje,Prebold,3312
Celje,Polzela,3313
Celje,Braslovce,3314
Celje,Velenje,3320
Celje,Velenje,3322
Celje,sostanj,3325
Celje,Topolsica,3326
Celje,smartno ob Paki,3327
Celje,Mozirje,3330
Celje,Nazarje,3331
Celje,Recica ob Savinji,3332
Celje,Ljubno ob Savinji,3333
Celje,Luce,3334
Celje,Solcava,3335
Celje,smartno ob Dreti,3341
Celje,Gornji Grad,3342
Celje,Celje,3502
Celje,Velenje,3503
Celje,Velenje,3504
Celje,Celje,3505
Celje,Celje,3600
Koper,Koper/Capodistria,6000
Koper,Koper/Capodistria,6001
Koper,Sezana,6210
Koper,Divaca,6215
Koper,Podgorje,6216
Koper,Vremski Britof,6217
Koper,Lokev,6219
Koper,Dutovlje,6221
Koper,stanjel,6222
Koper,Komen,6223
Koper,Senozece,6224
Koper,Hrusevje,6225
Koper,Postojna,6230
Koper,Planina,6232
Koper,Kozina,6240
Koper,Materija,6242
Koper,Obrov,6243
Koper,Podgrad,6244
Koper,Ilirska Bistrica,6250
Koper,Ilirska Bistrica-Trnovo,6251
Koper,Knezak,6253
Koper,Jelsane,6254
Koper,Prem,6255
Koper,Kosana,6256
Koper,Pivka,6257
Koper,Prestranek,6258
Koper,Dekani,6271
Koper,Gracisce,6272
Koper,Marezige,6273
Koper,smarje,6274
Koper,crni Kal,6275
Koper,Pobegi,6276
Koper,Ankaran/Ancarano,6280
Koper,skofije,6281
Koper,Izola/Isola,6310
Koper,Portoroz/Portorose,6320
Koper,Strunjan/Strugnano (sezonska posta),6323
Koper,Piran/Pirano,6330
Koper,Secovlje/Sicciole,6333
Koper,Koper,6501
Koper,Koper,6502
Koper,Koper,6503
Koper,Koper,6504
Koper,Koper,6505
Koper,Koper,6600
Kranj,Kranj,4000
Kranj,Kranj,4001
Kranj,Zgornja Besnica,4201
Kranj,Naklo,4202
Kranj,Duplje,4203
Kranj,Golnik,4204
Kranj,Preddvor,4205
Kranj,Zgornje Jezersko,4206
Kranj,Cerklje na Gorenjskem,4207
Kranj,sencur,4208
Kranj,zabnica,4209
Kranj,Brnik aerodrom,4210
Kranj,Mavcice,4211
Kranj,Visoko,4212
Kranj,skofja Loka,4220
Kranj,Poljane nad skofjo Loko,4223
Kranj,Gorenja vas,4224
Kranj,Sovodenj,4225
Kranj,ziri,4226
Kranj,Selca,4227
Kranj,zelezniki,4228
Kranj,Sorica,4229
Kranj,Radovljica,4240
Kranj,Brezje,4243
Kranj,Podnart,4244
Kranj,Kropa,4245
Kranj,Kamna Gorica,4246
Kranj,Zgornje Gorje,4247
Kranj,Lesce,4248
Kranj,Bled,4260
Kranj,Bohinjska Bela,4263
Kranj,Bohinjska Bistrica,4264
Kranj,Bohinjsko jezero,4265
Kranj,Srednja vas v Bohinju,4267
Kranj,Jesenice,4270
Kranj,Blejska Dobrava,4273
Kranj,zirovnica,4274
Kranj,Begunje na Gorenjskem,4275
Kranj,Hrusica,4276
Kranj,Kranjska Gora,4280
Kranj,Mojstrana,4281
Kranj,Gozd Martuljek,4282
Kranj,Ratece-Planica,4283
Kranj,Trzic,4290
Kranj,Krize,4294
Kranj,Naklo,4501
Kranj,Kranj,4502
Kranj,Kranj,4600
Ljubljana,Ljubljana,1000
Ljubljana,Ljubljana,1001
Ljubljana,Ljubljana sentvid,1210
Ljubljana,Ljubljana-smartno,1211
Ljubljana,Medvode,1215
Ljubljana,Smlednik,1216
Ljubljana,Vodice,1217
Ljubljana,Komenda,1218
Ljubljana,Laze v Tuhinju,1219
Ljubljana,Motnik,1221
Ljubljana,Trojane,1222
Ljubljana,Blagovica,1223
Ljubljana,Lukovica,1225
Ljubljana,Domzale,1230
Ljubljana,Ljubljana crnuce,1231
Ljubljana,Dob,1233
Ljubljana,Menges,1234
Ljubljana,Radomlje,1235
